name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
New Haven Police Department,436,Local police department,CT,New Haven,New Haven,120,0,0,6519,9009
Cobb County Sheriff's Office,435,Sheriff's office,GA,Cobb,Marietta,229,49,2,30060,13067
Chattanooga Police Department,434,Local police department,TN,Hamilton,Chattanooga,189,36,0,37406,47065
Salt Lake City Police Department,433,Local police department,UT,Salt Lake,Salt Lake City,174,0,0,84114,49035
Ouachita Parish Sheriff's Office,431,Sheriff's office,LA,Ouachita,Monroe,0,35,0,71201,22073
Laredo Police Department,430,Local police department,TX,Webb,Laredo,79,0,0,78041,48479
Virginia Beach (City) Sheriff's Office,429,Sheriff's office,VA,Virginia Beach City,Virginia Beach,51,48,0,23456,51810
Howard County Police Department,424,Local police department,MD,Howard,Ellicott City,168,0,0,21043,24027
Richmond (City) Sheriff's Office,424,Sheriff's office,VA,Richmond City,Richmond,42,10,0,23223,51760
Glendale Police Department,424,Local police department,AZ,Maricopa,Glendale,165,3,0,85301,4013
Essex County Sheriff's Office,423,Sheriff's office,NJ,Essex,Newark,66,0,0,7102,34013
Bridgeport Police Department,422,Local police department,CT,Fairfield,Bridgeport,89,0,0,6607,9001
Dayton Police Department,421,Local police department,OH,Montgomery,Dayton,88,0,0,45402,39113
Hawaii (County) Police Department,419,Local police department,HI,Hawaii,Hilo,133,34,4,96720,15001
"California Dept. of Justice, Div. of Law Enforcement",419,Special jurisdiction,CA,Sacramento,Sacramento,851,14,0,95811,6067
Scottsdale Police Dept,417,Local police department,AZ,Maricopa,Scottsdale,289,6,0,85251,4013
Nevada Highway Patrol,417,Primary state law enforcement agency,NV,Carson,Carson City,166,0,0,89711,32510
Newport News Police Department,415,Local police department,VA,Newport News City,Newport News,136,12,0,23605,51700
Stockton Police Department,415,Local police department,CA,San Joaquin,Stockton,209,55,0,95202,6077
Norfolk (City) Sheriff's Office,414,Sheriff's office,VA,Norfolk City,Norfolk,69,10,9,23510,51710
Martin County Sheriff's Office,414,Sheriff's office,FL,Martin,Stuart,169,10,0,34994,12085
Washoe County Sheriff's Office,414,Sheriff's office,NV,Washoe,Reno,300,1,0,89512,32031
St. Tammany Parish Sheriff's Office,409,Sheriff's office,LA,St. Tammany,Covington,291,29,4,70434,22103
Sarasota County Sheriff's Office,409,Sheriff's office,FL,Sarasota,Sarasota,514,33,0,34230,12115
Hartford Police Department,408,Local police department,CT,Hartford,Hartford,68,0,0,6120,9003
Arapahoe County Sheriff's Office,407,Sheriff's office,CO,Arapahoe,Centennial,222,12,1,80112,8005
Suffolk County Sheriff's Office,406,Sheriff's office,MA,Suffolk,Boston,648,0,0,2118,25025
Huntsville Police Department,405,Local police department,AL,Madison,Huntsville,100,79,0,35804,1089
Fort Bend County Sheriff's Office,400,Sheriff's office,TX,Fort Bend,Richmond,177,3,0,77469,48157
Columbus Police Department,400,Local police department,GA,Muscogee,Columbus,93,0,0,31902,13215
Anaheim Police Department,398,Local police department,CA,Orange,Anaheim,196,128,14,92805,6059
Camden Police,397,Local police department,NJ,Camden,Camden,101,0,0,8103,34007
Greenville County Sheriff's Office,397,Sheriff's office,SC,Greenville,Greenville,93,95,0,29601,45045
Ohio Department of Natural Resources - Office of Law Enforcement,394,Special jurisdiction,OH,Franklin,Columbus,10,0,25,43229,39049
Summit County Sheriff's Office,393,Sheriff's office,OH,Summit,Akron,97,16,27,44308,39153
Navajo Nation Tribal Department of Law Enforcement,393,Local police department,AZ,Apache,Window Rock,279,0,0,86515,4001
Osceola County Sheriff's Office,388,Sheriff's office,FL,Osceola,Kissimmee,210,38,17,34744,12097
Escambia County Sheriff's Office,388,Sheriff's office,FL,Escambia,Pensacola,650,1,0,32501,12033
Du Page County Sheriff's Office,386,Sheriff's office,IL,Du Page,Wheaton,126,14,0,60187,17043
Des Moines Police Department,385,Local police department,IA,Polk,Des Moines,117,16,30,50309,19153
Riverside Police Department,385,Local police department,CA,Riverside,Riverside,167,17,0,92501,6065
Charleston Police Department,382,Local police department,SC,Charleston,Charleston,133,0,0,29403,45019
Chesapeake Police Department,376,Local police department,VA,Chesapeake City,Chesapeake,141,30,0,23322,51550
Lubbock Police Department,376,Local police department,TX,Lubbock,Lubbock,131,41,0,79457,48303
Atlantic City Police,376,Local police department,NJ,Atlantic,Atlantic City,162,0,0,8401,34001
Knoxville Police Department,375,Local police department,TN,Knox,Knoxville,24,0,12,37927,47093
Miami Beach Police Department,374,Local police department,FL,Miami-Dade,Miami Beach,155,0,0,33139,12086
Anchorage Police Department,372,Local police department,AK,Anchorage,Anchorage,182,0,0,99507,2020
Tacoma Police Department,371,Local police department,WA,Pierce,Tacoma,47,0,0,98409,53053
Santa Ana Police Department,369,Local police department,CA,Orange,Santa Ana,313,48,0,92701,6059
Washington County Sheriff's Office,369,Sheriff's office,OR,Washington,Hillsboro,155,9,24,97123,41067
Lafayette Parish Sheriff's Office,367,Sheriff's office,LA,Lafayette,Lafayette,248,29,1,70501,22055
North Carolina State Bureau of Investigation,367,Special jurisdiction,NC,Wake,Raleigh,227,0,0,27626,37183
Adams County Sheriff's Office,364,Sheriff's office,CO,Adams,Brighton,154,3,0,80601,8001
Arlington County Police Department,364,Local police department,VA,Arlington,Arlington,84,11,0,22201,51013
Tallahassee Police Department,364,Local police department,FL,Leon,Tallahassee,135,61,40,32303,12073
Reno Police Department,362,Local police department,NV,Washoe,Reno,90,17,0,89505,32031
East Baton Rouge Parish Sheriff's Office,359,Sheriff's office,LA,East Baton Rouge,Baton Rouge,476,0,486,70821,22033
